loc,ev(g),l,d,i,lOComment,lOBlank,locCodeAndComment
1.1,1.4,1.3,1.3,1.3,2,2,2
1.0,1.0,1.0,1.0,1.0,1,1,1
83.0,1.0,0.04,23.04,40.27,10,6,0
46.0,6.0,0.07,14.86,51.81,2,5,0
25.0,1.0,0.11,9.35,27.25,0,2,0
43.0,1.0,0.09,11.27,50.53,2,4,0
48.0,1.0,0.06,15.43,48.72,2,2,0
69.0,1.0,0.04,27.27,44.45,3,2,0
47.0,1.0,0.06,16.2,45.99,2,1,0
48.0,1.0,0.06,17.82,44.97,2,1,0
58.0,1.0,0.05,20.7,49.62,2,2,0
65.0,1.0,0.05,19.73,40.62,4,5,0
116.0,4.0,0.04,26.6,63.91,14,12,0
24.0,1.0,0.09,11.37,30.6,0,0,0
77.0,12.0,0.03,29.25,42.59,7,7,0
9.0,1.0,0.29,3.5,13.32,0,0,0
16.0,1.0,0.18,5.43,35.32,0,1,0
93.0,3.0,0.03,29.86,50.21,4,15,0
23.0,1.0,0.21,4.74,64.87,0,1,0
30.0,1.0,0.3,3.33,25.75,0,1,0
30.0,1.0,0.03,39.0,2.77,0,0,0
35.0,1.0,0.08,13.0,40.76,0,3,0
25.0,1.0,0.07,13.5,17.26,0,3,0
20.0,7.0,0.1,9.58,25.13,0,1,0
119.0,1.0,0.03,30.72,52.25,26,6,0
35.0,1.0,0.07,14.31,25.32,0,2,0
33.0,1.0,0.07,14.5,23.08,0,1,0
17.0,1.0,0.16,6.4,14.45,0,3,0
44.0,1.0,0.06,16.0,37.74,2,2,0
84.0,9.0,0.04,25.26,53.35,0,10,0
56.0,1.0,0.07,14.09,54.62,3,4,0
58.0,1.0,0.05,21.0,48.4,2,3,0
78.0,1.0,0.06,17.71,67.19,4,6,0
75.0,3.0,0.03,29.1,46.62,5,5,0
12.0,1.0,0.3,3.33,22.83,1,3,0
11.0,1.0,0.3,3.33,22.83,1,2,0
69.0,1.0,0.04,25.0,42.36,7,6,0
39.0,3.0,0.09,11.67,36.86,1,1,0
53.0,1.0,0.1,9.65,60.05,0,0,0
52.0,1.0,0.1,9.82,55.44,0,1,0
30.0,1.0,0.08,12.5,26.4,2,2,0
27.0,1.0,0.14,7.1,55.59,0,3,0
47.0,1.0,0.08,12.05,43.58,0,2,0
49.0,1.0,0.08,12.17,45.58,0,3,0
7.0,1.0,0.33,3.0,16.73,0,0,0
66.0,5.0,0.05,20.45,45.08,4,5,0
14.0,1.0,0.18,5.63,21.07,2,2,0
29.0,1.0,0.11,9.17,32.82,0,1,0
6.0,1.0,0.4,2.5,19.37,0,0,0
12.0,1.0,0.19,5.25,26.79,0,0,0
38.0,1.0,0.06,16.0,36.49,0,6,0
132.0,11.0,0.03,29.65,69.24,7,22,0
26.0,1.0,0.08,11.79,35.53,0,0,0
56.0,1.0,0.08,13.19,74.95,1,5,0
21.0,1.0,0.16,6.2,58.93,0,0,0
43.0,5.0,0.05,18.9,26.93,0,10,0
12.0,1.0,0.1,9.82,20.27,0,0,0
11.0,1.0,0.17,6.0,16.5,0,1,0
26.0,1.0,0.14,7.15,44.72,0,3,0
80.0,1.0,0.03,28.71,57.05,2,10,0
63.0,1.0,0.04,24.33,43.95,2,7,0
10.0,1.0,0.08,12.83,6.82,0,0,0
9.0,1.0,0.18,5.6,23.08,0,0,0
35.0,1.0,0.05,20.4,22.01,1,3,0
9.0,1.0,0.4,2.5,37.0,0,0,0
16.0,1.0,0.07,13.75,9.94,0,1,2
5.0,1.0,0.27,3.75,7.49,0,0,0
16.0,1.0,0.22,4.57,23.93,1,1,0
4.0,1.0,0.33,3.0,6.55,0,0,0
12.0,1.0,0.29,3.43,25.9,2,0,0
8.0,1.0,0.19,5.25,14.1,0,0,0
4.0,1.0,0.5,2.0,5.8,0,0,0
14.0,1.0,0.15,6.87,17.59,1,0,0
56.0,1.0,0.13,7.5,71.67,5,14,0
30.0,1.0,0.11,9.17,27.14,0,4,0
52.0,1.0,0.04,23.08,62.43,0,2,3
41.0,3.0,0.05,18.45,31.0,0,2,0
4.0,1.0,0.0,0.0,0.0,1,0,0
15.0,1.0,0.29,3.5,29.02,2,3,0
9.0,1.0,0.29,3.43,31.28,0,0,0
5.0,1.0,0.33,3.0,8.0,0,0,0
25.0,1.0,0.15,6.5,47.55,1,2,0
45.0,1.0,0.0,0.0,0.0,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
23.0,1.0,0.07,14.18,22.33,1,1,0
14.0,1.0,0.24,4.2,32.11,0,0,0
18.0,1.0,0.1,9.64,16.18,0,2,0
40.0,1.0,0.07,15.17,35.93,1,2,0
24.0,1.0,0.07,13.85,26.83,1,1,0
52.0,1.0,0.06,16.25,41.29,3,2,0
11.0,1.0,0.25,4.0,12.95,0,1,0
23.0,6.0,0.05,19.79,17.52,0,4,0
4.0,1.0,0.67,1.5,5.33,0,0,0
38.0,8.0,0.04,28.27,39.75,1,8,0
113.0,11.0,0.03,33.28,104.99,5,18,0
8.0,1.0,0.26,3.85,27.6,0,2,0
38.0,3.0,0.05,20.8,43.01,0,10,0
47.0,10.0,0.03,36.93,35.3,0,5,0
8.0,1.0,0.2,5.0,12.19,0,2,0
4.0,1.0,0.67,1.5,7.74,0,0,0
15.0,1.0,0.1,9.69,21.1,0,3,0
38.0,1.0,0.07,15.0,20.51,0,17,0
48.0,1.0,0.04,26.92,36.31,2,6,0
70.0,14.0,0.02,41.3,40.24,0,11,0
23.0,3.0,0.04,22.8,27.78,0,5,0
27.0,6.0,0.05,20.16,34.45,0,3,0
10.0,1.0,0.23,4.28,24.31,0,3,0
13.0,1.0,0.13,7.46,28.62,2,0,0
23.0,8.0,0.07,14.71,37.05,0,1,0
11.0,4.0,0.1,9.78,16.8,0,1,0
9.0,1.0,0.13,7.73,23.87,0,1,0
11.0,3.0,0.14,6.97,29.01,0,2,0
49.0,1.0,0.06,17.81,61.1,3,9,0
53.0,6.0,0.02,44.31,48.29,0,8,0
21.0,4.0,0.05,21.0,19.94,0,6,0
16.0,1.0,0.11,8.9,48.29,0,3,0
22.0,3.0,0.04,25.0,27.18,0,5,0
24.0,3.0,0.04,24.87,29.12,0,3,0
27.0,1.0,0.05,18.67,37.35,0,3,0
27.0,1.0,0.05,21.33,19.15,0,5,0
39.0,9.0,0.03,35.34,34.9,0,8,0
16.0,1.0,0.14,7.0,39.4,0,2,0
19.0,1.0,0.08,12.28,34.7,0,4,0
66.0,11.0,0.04,25.03,64.25,1,18,0
12.0,1.0,0.14,7.2,11.31,0,1,0
19.0,5.0,0.07,14.17,29.91,0,3,0
9.0,3.0,0.07,13.5,16.01,0,2,0
29.0,3.0,0.1,9.95,34.99,0,5,0
286.0,5.0,0.04,27.42,107.5,44,35,3
26.0,1.0,0.09,11.0,29.72,0,1,0
64.0,1.0,0.06,18.15,52.58,2,2,0
47.0,1.0,0.08,12.38,35.74,2,5,0
107.0,7.0,0.05,19.95,55.59,11,19,2
107.0,7.0,0.05,19.65,53.5,11,20,2
74.0,3.0,0.07,14.45,50.35,9,11,3
37.0,1.0,0.09,10.61,32.84,3,5,0
79.0,1.0,0.07,14.03,63.37,6,12,0
134.0,8.0,0.03,30.22,59.7,11,28,3
55.0,3.0,0.06,16.14,55.37,3,7,0
22.0,1.0,0.08,12.0,23.31,1,1,0
22.0,1.0,0.06,16.2,20.09,1,1,0
8.0,1.0,0.2,5.0,7.3,0,1,0
151.0,4.0,0.03,38.54,72.43,3,24,2
2.0,1.0,1.0,1.0,4.75,0,0,0
2.0,1.0,0.5,2.0,5.8,0,0,0
70.0,4.0,0.03,33.41,53.74,2,4,1
4.0,1.0,0.4,2.5,7.86,0,0,0
2.0,1.0,0.4,2.5,6.2,0,0,0
27.0,1.0,0.22,4.5,34.29,5,4,0
57.0,1.0,0.15,6.57,103.45,2,11,0
4.0,1.0,0.67,1.5,5.33,0,0,0
7.0,1.0,0.5,2.0,22.5,0,0,0
7.0,1.0,0.27,3.75,6.74,0,1,0
16.0,1.0,0.14,7.2,16.45,0,1,0
11.0,1.0,0.33,3.0,12.18,0,1,0
8.0,1.0,0.15,6.75,9.32,0,0,0
62.0,1.0,0.02,41.88,71.91,0,5,0
39.0,1.0,0.07,13.43,31.49,1,2,0
165.0,11.0,0.02,43.27,50.99,22,23,0
45.0,1.0,0.08,12.19,33.08,11,7,0
3.0,1.0,0.0,0.0,0.0,0,0,0
21.0,1.0,0.16,6.43,43.51,0,0,0
23.0,1.0,0.18,5.6,59.23,0,0,0
12.0,1.0,0.26,3.85,25.48,0,0,0
44.0,1.0,0.07,14.0,46.48,2,3,0
17.0,3.0,0.13,7.71,17.63,0,1,0
40.0,3.0,0.07,13.72,34.3,0,3,0
179.0,4.0,0.04,22.82,98.25,24,22,0
92.0,3.0,0.07,15.17,78.07,5,2,0
14.0,1.0,0.33,3.0,36.14,0,1,0
92.0,3.0,0.07,15.35,73.03,4,4,0
64.0,1.0,0.09,10.82,68.76,12,5,0
184.0,12.0,0.03,33.6,86.96,27,18,0
17.0,3.0,0.12,8.25,15.15,0,0,0
38.0,3.0,0.08,13.0,35.44,0,2,0
6.0,1.0,0.5,2.0,9.83,0,1,0
41.0,1.0,0.1,10.47,40.21,0,3,0
13.0,1.0,1.33,0.75,21.67,0,1,0
20.0,3.0,0.14,7.31,20.12,0,3,0
50.0,4.0,0.06,16.5,37.93,2,3,0
17.0,1.0,0.2,5.0,43.92,0,1,0
41.0,5.0,0.05,18.9,26.93,0,9,0
29.0,1.0,0.08,12.46,22.36,0,2,0
125.0,5.0,0.06,17.69,96.33,19,16,0
42.0,3.0,0.06,15.47,36.84,0,2,0
17.0,3.0,0.12,8.25,15.15,0,0,0
14.0,3.0,0.11,8.94,19.01,0,1,0
9.0,1.0,0.5,2.0,7.75,0,2,0
3.0,1.0,0.0,0.0,0.0,0,0,0
11.0,1.0,0.29,3.5,30.98,0,0,0
35.0,1.0,0.08,12.78,42.79,4,3,0
7.0,1.0,0.19,5.25,6.64,0,0,0
34.0,1.0,0.05,18.75,26.16,0,2,0
24.0,1.0,0.06,17.45,14.98,0,3,0
35.0,1.0,0.07,13.82,31.3,1,3,1
48.0,1.0,0.05,20.7,33.47,0,3,2
61.0,1.0,0.09,11.57,81.45,3,9,0
20.0,1.0,0.41,2.43,46.36,1,0,0
10.0,1.0,0.4,2.5,22.2,1,0,0
38.0,1.0,0.08,12.83,36.26,0,3,0
4.0,1.0,0.67,1.5,5.33,0,0,0
15.0,1.0,0.13,7.43,18.41,0,1,1
6.0,1.0,0.33,3.0,13.29,1,0,0
6.0,1.0,0.4,2.5,9.6,0,1,0
50.0,5.0,0.05,20.0,40.21,2,5,0
17.0,1.0,0.17,5.82,31.39,0,2,0
20.0,1.0,0.14,7.31,30.33,1,1,0
8.0,1.0,0.21,4.67,16.32,0,0,0
20.0,1.0,0.17,6.0,39.53,0,0,0
36.0,3.0,0.07,13.43,26.84,0,2,0
27.0,1.0,0.14,7.33,73.32,0,3,0
13.0,1.0,0.12,8.33,13.44,0,3,0
13.0,1.0,0.12,8.33,13.44,0,3,0
13.0,1.0,0.12,8.33,13.44,0,3,0
78.0,3.0,0.09,10.89,165.42,1,1,0
84.0,3.0,0.08,12.29,154.03,1,1,0
99.0,5.0,0.03,30.88,51.86,6,6,0
25.0,1.0,0.13,7.65,24.99,1,3,1
97.0,1.0,0.03,30.12,53.32,2,5,0
95.0,9.0,0.04,27.64,54.5,0,10,1
132.0,8.0,0.03,28.71,70.65,11,9,0
61.0,1.0,0.05,18.98,63.49,0,2,0
8.0,1.0,0.33,3.0,16.73,0,1,0
55.0,1.0,0.1,10.08,60.03,0,0,0
57.0,1.0,0.05,18.5,58.78,0,1,0
51.0,8.0,0.05,20.13,35.44,3,2,0
93.0,1.0,0.05,21.91,68.37,6,16,0
29.0,1.0,0.2,4.9,101.02,0,0,0
112.0,10.0,0.03,33.33,59.66,0,12,0
152.0,6.0,0.03,29.75,101.78,4,16,0
25.0,1.0,0.12,8.68,42.94,0,0,0
78.0,1.0,0.05,19.4,67.96,7,7,0
35.0,3.0,0.09,10.61,39.13,3,5,0
12.0,1.0,0.4,2.5,19.93,0,1,0
19.0,1.0,0.1,9.75,16.67,0,0,0
19.0,1.0,0.13,8.0,14.75,0,1,0
15.0,1.0,0.19,5.25,25.1,1,1,0
217.0,18.0,0.04,23.29,143.73,17,23,0
150.0,22.0,0.02,46.67,60.0,6,24,0
30.0,1.0,0.08,12.43,29.12,0,2,0
15.0,1.0,0.12,8.5,19.13,0,1,0
41.0,1.0,0.0,0.0,0.0,0,0,0
25.0,3.0,0.11,8.71,24.93,0,8,0
15.0,4.0,0.06,17.0,22.55,0,1,0
56.0,7.0,0.04,25.51,50.98,2,11,0
20.0,1.0,0.15,6.5,20.61,1,7,0
9.0,1.0,0.08,12.19,14.78,0,1,0
145.0,21.0,0.02,44.04,63.84,3,58,0
34.0,1.0,0.06,15.89,18.77,0,13,0
12.0,1.0,0.12,8.5,21.51,0,0,0
24.0,3.0,0.06,15.83,20.24,0,3,0
74.0,5.0,0.07,14.5,52.0,10,11,4
36.0,1.0,0.09,10.8,27.14,11,4,0
7.0,1.0,0.29,3.5,17.08,0,0,0
7.0,1.0,0.4,2.5,17.75,0,0,0
6.0,1.0,0.33,3.0,11.2,0,0,0
55.0,1.0,0.07,14.25,53.73,3,6,0
21.0,1.0,0.3,3.38,28.2,4,5,0
17.0,1.0,0.2,5.0,24.8,0,4,0
19.0,1.0,0.14,7.14,17.74,0,2,0
22.0,1.0,0.09,10.67,19.35,2,2,0
40.0,1.0,0.1,10.05,44.93,2,3,1
15.0,1.0,0.2,4.9,12.44,3,1,0
27.0,3.0,0.06,17.27,35.28,0,4,0
35.0,1.0,0.19,5.2,25.66,18,0,0
30.0,1.0,0.14,7.14,64.5,0,1,0
12.0,1.0,0.33,3.0,29.33,0,0,0
22.0,1.0,0.91,1.1,45.63,0,1,0
40.0,3.0,0.07,13.98,38.26,0,2,0
176.0,10.0,0.04,27.24,90.59,26,25,0
132.0,10.0,0.05,22.19,79.19,24,18,0
101.0,6.0,0.06,17.79,71.07,8,5,0
7.0,1.0,0.25,4.0,19.53,0,0,0
11.0,1.0,0.22,4.5,20.31,0,0,0
11.0,1.0,0.22,4.5,20.31,0,0,0
11.0,1.0,0.22,4.5,20.31,0,0,0
11.0,1.0,0.22,4.5,20.31,0,0,0
16.0,1.0,0.15,6.86,16.52,0,2,0
38.0,1.0,0.08,13.0,34.3,4,5,0
50.0,1.0,0.08,11.93,52.11,4,3,0
4.0,1.0,1.0,1.0,8.0,0,0,0
60.0,3.0,0.05,19.5,50.41,0,5,0
63.0,5.0,0.06,17.0,42.97,1,6,0
72.0,7.0,0.04,26.13,32.56,2,5,1
57.0,1.0,0.06,15.47,73.18,2,5,0
82.0,13.0,0.06,16.45,67.29,2,3,0
